time,symbol,type,entry,exit,qty,pnl,note,strategy
2026-06-10 16:00:00+00:00,BTCUSDT,ENTRY_SHORT,61923.85726800001,,0.060406850752428125,0.0,bear trend short|scale=0.79|regScale=1.50|stopPct=0.0254,Trend
2026-06-10 16:00:00+00:00,ETHUSDT,ENTRY_SHORT,1629.660955,,1.3983926703665615,0.0,bear trend short|scale=0.61|regScale=1.50|stopPct=0.0325,Trend
2026-06-11 00:00:00+00:00,ETHUSDT,EXIT,1629.660955,1654.446185,1.3983926703665615,-34.659483965349345,CLOSE_BY_SIGNAL,Trend
2026-06-11 16:00:00+00:00,BTCUSDT,STOP_SHORT,61923.85726800001,63535.15018575,0.060406850752428125,-97.33313080096809,,Trend
2026-06-13 20:00:00+00:00,BTCUSDT,ENTRY_LONG,64477.347403,,0.07407733972980778,0.0,trend long|scale=1.10|regScale=1.00|stopPct=0.0182,Trend
2026-06-14 04:00:00+00:00,BTCUSDT,ENTRY_LONG,64448.718817,,0.0925819790187152,0.0,trend long|scale=1.49|regScale=0.70|stopPct=0.0121,Sleeve
2026-06-14 16:00:00+00:00,BTCUSDT,EXIT,64477.347403,63782.8594,0.07407733972980778,-51.445823736506654,CLOSE_BY_SIGNAL,Trend
2026-06-14 16:00:00+00:00,BTCUSDT,EXIT,64448.718817,63782.8594,0.0925819790187152,-61.64658257410791,CLOSE_BY_SIGNAL,Sleeve
2026-06-14 20:00:00+00:00,BTCUSDT,ENTRY_LONG,65766.173935,,0.10760514068075126,0.0,trend long|scale=1.34|regScale=1.00|stopPct=0.0149,Trend
2026-06-15 00:00:00+00:00,BTCUSDT,ENTRY_LONG,65946.87813,,0.09582371114517842,0.0,trend long|scale=1.55|regScale=0.70|stopPct=0.0116,Sleeve
2026-06-15 16:00:00+00:00,ETHUSDT,ENTRY_LONG,1822.436567,,1.176147810273063,0.0,trend long|scale=0.74|regScale=1.00|stopPct=0.0272,Trend
2026-06-15 20:00:00+00:00,BTCUSDT,STOP_LONG,65946.87813,66118.05505964287,0.09582371114517842,16.402808660816746,,Sleeve
2026-06-16 00:00:00+00:00,ETHUSDT,STOP_LONG,1822.436567,1771.800443214286,1.176147810273063,-59.555566111283355,,Trend
2026-06-16 00:00:00+00:00,ETHUSDT,ENTRY_LONG,1779.693748,,0.8463042029039374,0.0,trend long|scale=0.62|regScale=1.00|stopPct=0.0322,Trend
2026-06-16 00:00:00+00:00,BTCUSDT,ENTRY_LONG,66185.059563,,0.05381389968891703,0.0,trend long|scale=1.16|regScale=0.70|stopPct=0.0155,Sleeve
2026-06-16 04:00:00+00:00,BTCUSDT,EXIT,66185.059563,66352.08840000001,0.05381389968891703,8.988473079474758,CLOSE_BY_SIGNAL,Sleeve
2026-06-16 04:00:00+00:00,ETHUSDT,ENTRY_LONG,1774.772272,,0.7539002374909622,0.0,trend long|scale=0.71|regScale=0.70|stopPct=0.0253,Sleeve
2026-06-16 12:00:00+00:00,BTCUSDT,ENTRY_LONG,65879.51792799999,,0.04354737451690266,0.0,trend long|scale=0.86|regScale=1.00|stopPct=0.0232,Trend
2026-06-16 12:00:00+00:00,BTCUSDT,STOP_LONG,65766.173935,65541.10641046429,0.10760514068075126,-24.218422640333774,,Trend
2026-06-17 04:00:00+00:00,BTCUSDT,EXIT,65879.51792799999,65519.83815,0.04354737451690266,-15.66310999872168,CLOSE_BY_SIGNAL,Trend
2026-06-17 12:00:00+00:00,BTCUSDT,ENTRY_LONG,65771.72559999999,,0.041569485952906944,0.0,trend long|scale=0.84|regScale=1.00|stopPct=0.0237,Trend
2026-06-17 12:00:00+00:00,ETHUSDT,EXIT,1774.772272,1772.877977,0.7539002374909622,-1.4281094503778136,CLOSE_BY_SIGNAL,Sleeve
2026-06-17 16:00:00+00:00,ETHUSDT,EXIT,1779.693748,1734.1995840000002,0.8463042029039374,-38.50190220080077,CLOSE_BY_SIGNAL,Trend
2026-06-17 16:00:00+00:00,BTCUSDT,STOP_LONG,65771.72559999999,64173.82121911428,0.041569485952906944,-66.42406371531698,,Trend
2026-06-19 08:00:00+00:00,BTCUSDT,ENTRY_SHORT,62607.2122,,0.04271758768136763,0.0,bear trend short|scale=0.84|regScale=1.00|stopPct=0.0213,Sleeve
